Instructor,Course,Sections,Back-to-Back Preference,Total Unavailability
Al Gebra,MA 15800,2,Yes,"Mon 09:30, Tue 09:30, Wed 15:30, Thu 15:30, Fri 11:30"
Pi Thagoras,MA 15800,2,No,"Mon 14:30, Tue 14:30, Wed 14:30, Thu 14:30, Fri 10:30"
Cal Q. Lator,MA 16010,2,Yes,"Mon 11:30, Tue 11:30, Wed 11:30, Thu 11:30, Fri 09:30"
Polly Nomial,MA 16010,2,No preference,"Mon 13:30, Tue 13:30, Wed 13:30, Thu 13:30, Fri 12:30"
Tess Ellation,MA 16020,2,Yes,"Mon 10:30, Tue 10:30, Wed 10:30, Thu 10:30, Fri 11:30"
Radian Angle,MA 16020,2,No,"Mon 15:30, Tue 15:30, Wed 15:30, Thu 15:30, Fri 09:30"
Theo Rem,MA 16100,2,Yes,"Mon 12:30, Tue 12:30, Wed 12:30, Thu 12:30, Fri 10:30"
Carrie O' Var,MA 16100,2,No preference,"Mon 09:30, Tue 14:30, Wed 09:30, Thu 14:30, Fri 12:30"
Max Ima,MA 16200,2,Yes,"Mon 14:30, Tue 09:30, Wed 14:30, Thu 09:30, Fri 11:30"
Vector Vale,MA 16200,2,No,"Mon 11:30, Tue 15:30, Wed 11:30, Thu 15:30, Fri 10:30"
Matrix Moore,MA 16500,2,Yes,"Mon 15:30, Tue 11:30, Wed 15:30, Thu 11:30, Fri 09:30"
Mean Median,MA 16500,2,No preference,"Mon 10:30, Tue 13:30, Wed 10:30, Thu 13:30, Fri 12:30"
Sigma Sum,MRR,12,Yes,"Tue 12:30, Thu 12:30"
Delta Force,MRR,12,No preference,"Mon 09:30, Wed 09:30, Fri 11:30"
Integral Parts,MRR,12,Yes,"Mon 15:30, Tue 15:30, Wed 15:30, Thu 15:30"
Factor Fable,MRR,6,No,"Mon 11:30, Tue 11:30, Wed 11:30, Thu 11:30"
